Post_Code,Post_URL,Post_Date,Username_KOL,Followers,KOL_Tier,Is_Endorse,Likes,Comments,Shares,Views,LVR,CVR,SVR,ER
post_244,https://vt.tiktok.com/ZSyFaEHj2/,08/10/2025,dindajlsmn,4.653,Nano,Endorse,7,0,1,261,"0,027","0,000","0,004","0,031"
post_245,https://vt.tiktok.com/ZSyFmHFpV/,06/10/2025,dindajlsmn,4.653,Nano,Not Endorse,55,2,21,566,"0,097","0,004","0,037","0,138"
post_246,https://vt.tiktok.com/ZSyFmkpTM/,02/10/2025,dindajlsmn,4.653,Nano,Endorse,17,0,3,698,"0,024","0,000","0,004","0,029"
post_247,https://vt.tiktok.com/ZSyFuRhHu/,16/10/2025,kembaranbinda,16.900,Micro,Not Endorse,1037,5,56,18200,"0,057","0,000","0,003","0,060"
post_248,https://vt.tiktok.com/ZSyFmW5Ub/,15/10/2025,kembaranbinda,16.900,Micro,Not Endorse,112900,105,5595,990800,"0,114","0,000","0,006","0,120"
post_249,https://vt.tiktok.com/ZSyFuddRE/,14/10/2025,kembaranbinda,16.900,Micro,Not Endorse,52100,52,4443,409500,"0,127","0,000","0,011","0,138"
post_250,https://vt.tiktok.com/ZSyFuNFGN/,07/10/2025,kembaranbinda,16.900,Micro,Endorse,401,5,15,23400,"0,017","0,000","0,001","0,018"
post_251,https://vt.tiktok.com/ZSyFuAD7q/,25/09/2025,kembaranbinda,16.900,Micro,Endorse,310,4,9,16100,"0,019","0,000","0,001","0,020"
post_252,https://vt.tiktok.com/ZSyFu2Wv4/,15/09/2025,kembaranbinda,16.900,Micro,Endorse,838,3,29,23400,"0,036","0,000","0,001","0,037"
post_253,https://vt.tiktok.com/ZSyYQr64x/,16/10/2025,kaylaschaeferr,54.400,Midi,Endorse,33300,255,222,895500,"0,037","0,000","0,000","0,038"
post_254,https://vt.tiktok.com/ZSyYC89Xt/,16/10/2025,kaylaschaeferr,54.400,Midi,Not Endorse,13900,102,73,403400,"0,034","0,000","0,000","0,035"
post_255,https://vt.tiktok.com/ZSyYQgm5m/,07/10/2025,kaylaschaeferr,54.400,Midi,Endorse,297100,1056,8386,9200000,"0,032","0,000","0,001","0,033"
post_256,https://vt.tiktok.com/ZSyYQwymG/,08/10/2025,kaylaschaeferr,54.400,Midi,Not Endorse,12400,157,129,890100,"0,014","0,000","0,000","0,014"
post_257,https://vt.tiktok.com/ZSyYCk6wq/,04/10/2025,kaylaschaeferr,54.400,Midi,Not Endorse,155000,864,1849,2500000,"0,062","0,000","0,001","0,063"
post_258,https://vt.tiktok.com/ZSyYCDtad/,26/09/2025,kaylaschaeferr,54.400,Midi,Endorse,149700,1805,5394,7200000,"0,021","0,000","0,001","0,022"
post_259,https://vt.tiktok.com/ZSyYCTs72/,19/10/2025,salwapooja,624.800,Macro,Not Endorse,34700,257,249,427500,"0,081","0,001","0,001","0,082"
post_260,https://vt.tiktok.com/ZSyYCGHE5/,18/10/2025,salwapooja,624.800,Macro,Endorse,51900,174,220,761000,"0,068","0,000","0,000","0,069"
post_261,https://vt.tiktok.com/ZSyYCcsoX/,17/10/2025,salwapooja,624.800,Macro,Not Endorse,104100,202,2765,1300000,"0,080","0,000","0,002","0,082"
post_262,https://vt.tiktok.com/ZSyYX2bBS/,16/10/2025,salwapooja,624.800,Macro,Not Endorse,274900,985,3511,2600000,"0,106","0,000","0,001","0,107"
post_263,https://vt.tiktok.com/ZSyYXa2C1/,10/10/2025,salwapooja,624.800,Macro,Endorse,14900,168,75,514100,"0,029","0,000","0,000","0,029"
post_264,https://vt.tiktok.com/ZSyYXkAqF/,05/10/2025,salwapooja,624.800,Macro,Endorse,17700,206,102,332000,"0,053","0,001","0,000","0,054"
post_265,https://vt.tiktok.com/ZSyY4smd6/,07/10/2025,itsshaaaxx,2.500.000.000,Mega,Endorse,3107,147,187,511800,"0,006","0,000","0,000","0,007"
post_266,https://vt.tiktok.com/ZSyY4avws/,30/09/2025,itsshaaaxx,2.500.000.000,Mega,Endorse,1207,29,27,15800,"0,076","0,002","0,002","0,080"
post_267,https://vt.tiktok.com/ZSyY4sUme/,26/09/2025,itsshaaaxx,2.500.000.000,Mega,Endorse,218,25,32,24300,"0,009","0,001","0,001","0,011"
post_268,https://vt.tiktok.com/ZSyYV9yDh/,04/07/2025,itsshaaaxx,2.500.000.000,Mega,Not Endorse,1272,16,25,4463,"0,285","0,004","0,006","0,294"
post_269,https://vt.tiktok.com/ZSyYVmyCv/,15/06/2025,itsshaaaxx,2.500.000.000,Mega,Not Endorse,34800,353,753,235900,"0,148","0,001","0,003","0,152"
post_270,https://vt.tiktok.com/ZSyYV4yEd/,17/05/2025,itsshaaaxx,2.500.000.000,Mega,Not Endorse,1167,35,20,215900,"0,005","0,000","0,000","0,006"
post_271,https://vt.tiktok.com/ZSyYqjPkb/,18/10/2025,mi.aaaww,2.665,Nano,Not Endorse,322,51,15,6002,"0,054","0,008","0,002","0,065"
post_272,https://vt.tiktok.com/ZSyYqBkKA/,11/10/2025,mi.aaaww,2.665,Nano,Not Endorse,49,2,1,556,"0,088","0,004","0,002","0,094"
post_273,https://vt.tiktok.com/ZSyYqfaNr/,05/10/2025,mi.aaaww,2.665,Nano,Not Endorse,47,5,1,754,"0,062","0,007","0,001","0,070"
post_274,https://vt.tiktok.com/ZSyYqubyQ/,23/09/2025,mi.aaaww,2.665,Nano,Endorse,50,3,4,5182,"0,010","0,001","0,001","0,011"
post_275,https://vt.tiktok.com/ZSyYqWDaH/,10/09/2025,mi.aaaww,2.665,Nano,Endorse,57,10,15,1935,"0,029","0,005","0,008","0,042"
post_276,https://vt.tiktok.com/ZSyYbRsRr/,08/09/2025,mi.aaaww,2.665,Nano,Endorse,53,8,6,15700,"0,003","0,001","0,000","0,004"
post_277,https://vt.tiktok.com/ZSyYbPTGE/,17/10/2025,ryyeahh,17.200,Micro,Endorse,18,2,4,1761,"0,010","0,001","0,002","0,014"
post_278,https://vt.tiktok.com/ZSyYbmXAj/,26/09/2025,ryyeahh,17.200,Micro,Endorse,36,10,12,2531,"0,014","0,004","0,005","0,023"
post_279,https://vt.tiktok.com/ZSyYbfY2t/,24/09/2025,ryyeahh,17.200,Micro,Endorse,576,19,41,48300,"0,012","0,000","0,001","0,013"
post_280,https://vt.tiktok.com/ZSyYbh6Fd/,27/08/2025,ryyeahh,17.200,Micro,Not Endorse,26700,108,2747,785600,"0,034","0,000","0,003","0,038"
post_281,https://vt.tiktok.com/ZSyYbBhMA/,25/08/2025,ryyeahh,17.200,Micro,Not Endorse,1796,16,134,49000,"0,037","0,000","0,003","0,040"
post_282,https://vt.tiktok.com/ZSyYbqvqc/,23/08/2025,ryyeahh,17.200,Micro,Not Endorse,32,3,1,2027,"0,016","0,001","0,000","0,018"
post_283,https://vt.tiktok.com/ZSyYgFPch/,17/10/2025,anakjahadt,330.300,Midi,Not Endorse,10700,119,1231,116000,"0,092","0,001","0,011","0,104"
post_284,https://vt.tiktok.com/ZSyYgfPoc/,14/10/2025,anakjahadt,330.300,Midi,Not Endorse,61400,238,2606,785200,"0,078","0,000","0,003","0,082"
post_285,https://vt.tiktok.com/ZSyYgpKG2/,10/10/2025,anakjahadt,330.300,Midi,Not Endorse,5493,21,44,21300,"0,258","0,001","0,002","0,261"
post_286,https://vt.tiktok.com/ZSyYgWYhj/,09/10/2025,anakjahadt,330.300,Midi,Endorse,1147,19,100,12300,"0,093","0,002","0,008","0,103"
post_287,https://vt.tiktok.com/ZSyYg7km3/,06/10/2025,anakjahadt,330.300,Midi,Endorse,404,18,20,9715,"0,042","0,002","0,002","0,045"
post_288,https://vt.tiktok.com/ZSyYg7BMP/,03/10/2025,anakjahadt,330.300,Midi,Endorse,5819,21,34,26400,"0,220","0,001","0,001","0,223"
post_289,https://vt.tiktok.com/ZSyYtRhuM/,16/10/2025,jolinnaaa,502.100,Macro,Endorse,134300,480,803,1200000,"0,112","0,000","0,001","0,113"
post_290,https://vt.tiktok.com/ZSyYGW39q/,09/10/2025,jolinnaaa,502.100,Macro,Not Endorse,1100000,1599,32800,9400000,"0,117","0,000","0,003","0,121"
post_291,https://vt.tiktok.com/ZSyYGTjKe/,07/10/2025,jolinnaaa,502.100,Macro,Endorse,1500000,3479,20400,17800000,"0,084","0,000","0,001","0,086"
post_292,https://vt.tiktok.com/ZSyYGcqxK/,30/09/2025,jolinnaaa,502.100,Macro,Not Endorse,482900,1478,10800,2500000,"0,193","0,001","0,004","0,198"
post_293,https://vt.tiktok.com/ZSyYGt3Lr/,28/09/2025,jolinnaaa,502.100,Macro,Endorse,227300,635,2455,3900000,"0,058","0,000","0,001","0,059"
post_294,https://vt.tiktok.com/ZSyYtNmqp/,15/09/2025,jolinnaaa,502.100,Macro,Not Endorse,2200000,4580,46600,16700000,"0,132","0,000","0,003","0,135"
post_295,https://vt.tiktok.com/ZSyYtKkhd/,18/10/2025,cataalcorse,1.100.000.000,Mega,Not Endorse,390000,334,5762,2800000,"0,139","0,000","0,002","0,141"
post_296,https://vt.tiktok.com/ZSyYtbchU/,16/10/2025,cataalcorse,1.100.000.000,Mega,Endorse,153300,358,767,1300000,"0,118","0,000","0,001","0,119"
post_297,https://vt.tiktok.com/ZSyYtGsEX/,14/10/2025,cataalcorse,1.100.000.000,Mega,Not Endorse,97500,324,876,890000,"0,110","0,000","0,001","0,111"
post_298,https://vt.tiktok.com/ZSyYttCW4/,08/10/2025,cataalcorse,1.100.000.000,Mega,Endorse,289800,445,2627,3900000,"0,074","0,000","0,001","0,075"
post_299,https://vt.tiktok.com/ZSyYtTjGd/,01/10/2025,cataalcorse,1.100.000.000,Mega,Not Endorse,648200,1462,4589,4200000,"0,154","0,000","0,001","0,156"
post_300,https://vt.tiktok.com/ZSyYtg4Nq/,26/09/2025,cataalcorse,1.100.000.000,Mega,Endorse,123200,303,775,1600000,"0,077","0,000","0,000","0,078"
